Study_id,Species,Taxonomy,Class_name,Order_name,Family_name,Migratory_behaviour,Biological_archives,Tags_type,N_analysis,Life_stage,Instrument,Ablation_type,Beam_diameter,Beam_interval,Laser_fluence,Scan_speed,Reference_materials,LODs,Recovery_values,Analysis_type,Element_composition,Sample_date,Publication_date,Rawdata_name,Reference
001378a49553ea5076562f9c41333cca74da56a8,Tinca tinca,Osteichthyes,Actinopterygii,Cypriniformes,Tincidae,Potamodromous,Otolith,Trace element,85,Mixed,LA-ICP-MS,Laser ablation,19,NA,5,5,NIST610;MACS-3;GP-4,NA,NA,Point,Ba;Ca;Mg;Mn;Sr,2016,2021,bt.Morissette.2021,"Morissette, O.  Lecomte, F.  Vachon, N.  Drouin, A.  & Sirois, P. (2021). Quantifying migratory capacity and dispersal of the invasive Tench (Tinca tinca) in the St. Lawrence River using otolith chemistry. Canadian Journal of Fisheries and Aquatic Sciences, 78(11), 1628-1638."
0051cdd3d691bb4c38935d9fb83ef38749b8765d,Salmo trutta,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Partial migratory,Otolith,Trace element,83,Mixed,LA-ICP-MS,Laser ablation,122,NA,8,NA,NIST610;NIST612,NA,"NIST610{Li:100%,Mg:100%,Mn:100%,Co:100%,Cu:100%,Zn:101%,Sr:100%,Ba:100%,Pb:100%,U:100%};NIST612{Li:105,Mg:80%,Mn:100%,Co:104%,Cu:114%,Zn:114%,Sr:101%,Ba:100%,Pb:103%,U:106%}",Point,Ba;Co;Cu;Li;Mg;Mn;Pb;Si;Sr;U;Zn,2007,2011,Fig.2;Fig4;Fig5,"Ramsay, A. L.  Milner, N. J.  Hughes, R. N.  & McCarthy, I. D. (2011). Comparison of the performance of scale and otolith microchemistry as fisheries research tools in a small upland catchment. Canadian Journal of Fisheries and Aquatic Sciences, 68(5), 823-833."
0051cdd3d691bb4c38935d9fb83ef38749b8765d,Salmo trutta,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Partial migratory,Scale,Trace element,83,Mixed,LA-ICP-MS,Laser ablation,122,NA,6,NA,NIST610;NIST612,NA,"NIST610{Li:100%,Mg:99%,Mn:99%,Co:100%,Cu:100%,Zn:101%,Sr:100%,Ba:100%,Pb:99%,U:100%};NIST612{Li:107%,Mg:82%,Mn:101%,Co:105%,Cu:111%,Zn:115%,Sr:103%,Ba:105%,Pb:107%,U:110%}",Point,Ba;Co;Cu;Li;Mg;Mn;Pb;Si;Sr;U;Zn,2007,2011,Fig.2;Fig4;Fig5,"Ramsay, A. L.  Milner, N. J.  Hughes, R. N.  & McCarthy, I. D. (2011). Comparison of the performance of scale and otolith microchemistry as fisheries research tools in a small upland catchment. Canadian Journal of Fisheries and Aquatic Sciences, 68(5), 823-833."
0064b253cad38c7c2005dbcebd1d1e04cc151f0e,Ictalurus furcatus,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae,Partial migratory,Otolith,Trace element,152,Mixed,LA-ICP-MS,Laser ablation,100,NA,NA,5,NA,NA,NA,Point,Ca;Sr,2013;2014,2016,Fig.3a,"Laughlin, T. W., Whitledge, G. W., Oliver, D. C., & Rude, N. P. (2016). Recruitment sources of channel and blue catfishes inhabiting the middle Mississippi River. River Research and Applications, 32(8), 1808-1818."
0064b253cad38c7c2005dbcebd1d1e04cc151f0e,Ictalurus furcatus,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae,Partial migratory,Otolith,Stable isotope,152,Mixed,IRMS,Microdrilling,NA,NA,NA,NA,NA,NA,NA,Point,d18O,2013;2014,2016,Fig.3b,"Laughlin, T. W., Whitledge, G. W., Oliver, D. C., & Rude, N. P. (2016). Recruitment sources of channel and blue catfishes inhabiting the middle Mississippi River. River Research and Applications, 32(8), 1808-1818."
0064b253cad38c7c2005dbcebd1d1e04cc151f0e,Ictalurus punctatus,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae,Partial migratory,Otolith,Trace element,175,Mixed,LA-ICP-MS,Laser ablation,100,NA,NA,5,NA,NA,NA,Point,Ca;Sr,2013;2014,2016,Fig.3a,"Laughlin, T. W., Whitledge, G. W., Oliver, D. C., & Rude, N. P. (2016). Recruitment sources of channel and blue catfishes inhabiting the middle Mississippi River. River Research and Applications, 32(8), 1808-1818."
0064b253cad38c7c2005dbcebd1d1e04cc151f0e,Ictalurus punctatus,Osteichthyes,Actinopterygii,Siluriformes,Ictaluridae,Partial migratory,Otolith,Stable isotope,175,Mixed,IRMS,Microdrilling,NA,NA,NA,NA,NA,NA,NA,Point,d18O,2013;2014,2016,Fig.3b,"Laughlin, T. W., Whitledge, G. W., Oliver, D. C., & Rude, N. P. (2016). Recruitment sources of channel and blue catfishes inhabiting the middle Mississippi River. River Research and Applications, 32(8), 1808-1818."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes marinus,Osteichthyes,Actinopterygii,Scorpaeniformes,Sebastidae,Oceanodromous,Otolith,Trace element,78,Juvenile,LA-ICP-MS,Laser ablation,31,NA,NA,NA,NIST610,Li:0.06ug/g;Mg:0.5ug/g;Mn:0.08ug/g;Cu:0.05ug/g;Zn:0.1ug/g;Rb:0.01ug/g;Sr:0.5ug/g;Sn:0.06ug/g;Ba:0.01ug/g,NA,Point,Ba;Cu;Li;Mg;Mn;Rb;Sn;Sr;Zn,1998-2001,2005,Fig.2;Fig4,"Stransky, C.  Garbe-Schonberg, C. D.  & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00a898e1a640beee2f72b87c9941485c11ae6e55,Sebastes mentella,Osteichthyes,Actinopterygii,Scorpaeniformes,Sebastidae,Oceanodromous,Otolith,Trace element,85,Juvenile,LA-ICP-MS,Laser ablation,31,NA,NA,NA,NIST610,Li:0.06ug/g;Mg:0.5ug/g;Mn:0.08ug/g;Cu:0.05ug/g;Zn:0.1ug/g;Rb:0.01ug/g;Sr:0.5ug/g;Sn:0.06ug/g;Ba:0.01ug/g,NA,Point,Ba;Cu;Li;Mg;Mn;Rb;Sn;Sr;Zn,2001;2002,2005,Fig.2;Fig.3;Fig5,"Stransky, C.  Garbe-Schonberg, C. D.  & Gunther, D. (2005). Geographic variation and juvenile migration in Atlantic redfish inferred from otolith microchemistry. Marine and Freshwater Research, 56(5), 677-691."
00d2bde580b2edab2cbacc97d37244cfd26a79c3,Salmo trutta,Osteichthyes,Actinopterygii,Salmoniformes,Salmonidae,Partial migratory,Otolith,Trace element,91,Mixed,EPMA,Microdrilling,10,10,NA,NA,CaSiO3;SrTiO3,Ca:0.0213%;Sr:0.0543%,NA,Line,Ca;Sr,2006;2007,2012,Fig.2,"Honda, K.  Arai, T.  Kobayashi, S.  Tsuda, Y.  & Miyashita, K. (2012). Migratory patterns of exotic brown trout Salmo trutta in south-western Hokkaido, Japan, on the basis of otolith Sr: Ca ratios and acoustic telemetry. Journal of Fish Biology, 80(2), 408-426."
0129bf27e357d807d600f118f9eee01d02d6cc2f,Chimaera monstrosa,Chondrichthyes,Chondrichthyes,Chimaeriformes,Chimaeridae,Oceanodromous,Muscle,Stable isotope,15,Mixed,CF-IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2011,2014,Fig.1,"Navarro, J., Albo-Puigserver, M., Coll, M., Saez, R., Forero, M. G., & Kutcha, R. (2014). Isotopic discrimination of stable isotopes of nitrogen (d15N) and carbon (d13C) in a host-specific holocephalan tapeworm. Journal of helminthology, 88(3), 371-375."
012af2ffb8039bde7bf4b6c85d66e3903c35f258,Carcharhinus leucas,Chondrichthyes,Chondrichthyes,Carcharhiniformes,Carcharhinidae,Amphidromous,Fin,Stable isotope,19,Juvenile,IRMS,NA,NA,NA,NA,NA,NA,NA,NA,Point,d13C;d15N,2005-2008,2010,Fig.2;Fig3;Fig4,"Matich, P., Heithaus, M. R., & Layman, C. A. (2010). Size-based variation in intertissue comparisons of stable carbon and nitrogen isotopic signatures of bull sharks (Carcharhinus leucas) and tiger sharks (Galeocerdo cuvier). Canadian Journal of Fisheries and Aquatic Sciences, 67(5), 877-885."
